Country Name,Country Code,year,borrow_any,fin_account,distance,lack_doc,lack_trust,save_fin_acc,credit_c_purch,mm_account,save_any,imputer
Spain,ESP,2021,0.5791,0.983,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.5353,0.4629,0.24118787878787876,0.7813,Media
Sri Lanka,LKA,2021,0.4195,0.8893000000000001,0.0223,0.0306,0.0138,0.3390999999999999,0.0675,0.0313,0.4604,Media
Sudan,SDN,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Sweden,SWE,2021,0.5690999999999999,0.9969,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.7974,0.38,0.24118787878787876,0.8695999999999999,Media
Switzerland,CHE,2021,0.6849,0.9949,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.5623,0.5848,0.24118787878787876,0.8269,Media
Syrian Arab Republic,SYR,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
"Taiwan, China",TWN,2021,0.6662,0.9471,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.6777,0.6034,0.24118787878787876,0.7497,Media
Tajikistan,TJK,2021,0.3175,0.389,0.1859,0.0843,0.1488,0.0107,0.30153571428571424,0.0209,0.1827,Media
Tanzania,TZA,2021,0.4697,0.2332,0.2591,0.3914999999999999,0.0943,0.0626999999999999,0.30153571428571424,0.4458,0.4946,Media
Thailand,THA,2021,0.5589,0.9415,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.5228,0.1954,0.6,0.6706,Media
Togo,TGO,2021,0.4907999999999999,0.249,0.2929,0.3497,0.1567,0.1165,0.30153571428571424,0.3647999999999999,0.5478999999999999,Media
Trinidad and Tobago,TTO,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Tunisia,TUN,2021,0.5058,0.3571,0.0796,0.0915,0.1153,0.1378,0.30153571428571424,0.0371,0.4468999999999999,Media
Turkiye,TUR,2021,0.6498,0.7337,0.0626999999999999,0.1292,0.0997,0.0955,0.2892,0.1828,0.2045,Media
Turkmenistan,TKM,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Uganda,UGA,2021,0.7513,0.3656,0.2526,0.3116,0.2125,0.1589,0.30153571428571424,0.5379999999999999,0.7079000000000001,Media
Ukraine,UKR,2021,0.5646,0.8356,0.0776,0.0346,0.131,0.1054,0.2735,0.24118787878787876,0.3522999999999999,Media
United Arab Emirates,ARE,2021,0.4351,0.8456,0.0347,0.0374,0.0435,0.1032,0.2017,0.1326,0.336,Media
United Kingdom,GBR,2021,0.6183,0.9976,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.6098,0.5063,0.24118787878787876,0.8176000000000001,Media
United States,USA,2021,0.7618,0.9495,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.6494,0.6245,0.24118787878787876,0.7861,Media
Uruguay,URY,2021,0.5578,0.7413,0.0353,0.0635,0.0751999999999999,0.1509,0.3298,0.24118787878787876,0.3787,Media
Uzbekistan,UZB,2021,0.3026999999999999,0.4413,0.1626,0.1617,0.1907999999999999,0.0264,0.30153571428571424,0.24118787878787876,0.2788,Media
"Venezuela, RB",VEN,2021,0.4399,0.8403,0.0542999999999999,0.1003999999999999,0.0574,0.0834999999999999,0.054,0.3031,0.3728,Media
Vietnam,VNM,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
West Bank and Gaza,PSE,2021,0.4168,0.3318,0.0478,0.0844999999999999,0.1162,0.0679,0.30153571428571424,0.0233,0.28,Media
"Yemen, Rep.",YEM,2021,0.5107146341463414,0.6520886178861788,0.1474056818181818,0.1557090909090909,0.12651136363636362,0.27141382113821133,0.30153571428571424,0.24118787878787876,0.5276739837398373,Media
Zambia,ZMB,2021,0.5932,0.2384,0.3134,0.2455999999999999,0.1064,0.0815,0.30153571428571424,0.4163,0.5014,Media
Zimbabwe,ZWE,2021,0.5311,0.2925,0.2182,0.2748,0.1293,0.0409,0.30153571428571424,0.5063,0.5195000000000001,Media
