"CountryCode","SeriesCode","DESCRIPTION",
"OED","fin68a.11.a","Only high-income countries are covered.",
"OED","fin25c.a.s.4","Only high-income countries are covered.",
"OED","fin39b.a","Only high-income countries are covered.",
"OED","fin46.a.8","Only high-income countries are covered.",
"OED","fin1.t.a.7","Only high-income countries are covered.",
"OED","fin14b.a.10","Only high-income countries are covered.",
"OED","fin26.t.a.1","Only high-income countries are covered.",
"OED","fin65e.11.a.2","Only high-income countries are covered.",
"OED","g20.t.made.7","Only high-income countries are covered.",
"OED","mobileaccount.t.d.11","Only high-income countries are covered.",
"OED","fin33y.t.a.3","Only high-income countries are covered.",
"OED","fing2p.t.d.7","Only high-income countries are covered.",
"OED","fin27a.t.a.s","Only high-income countries are covered.",
"OED","fin29b.t.a","Only high-income countries are covered.",
"OED","fin29c2.t.d.s","Only high-income countries are covered.",
"OED","fin43a.t.a.s","Only high-income countries are covered.",
"OED","fin21.t.a.1","Only high-income countries are covered.",
"OED","fin46.a.2","Only high-income countries are covered.",
"OED","g20.t.9","Only high-income countries are covered.",
"OED","g20.t.receive.6","Only high-income countries are covered.",
"OED","fin7.t.a.6","Only high-income countries are covered.",
"OED","fin17c.14.a.4","Only high-income countries are covered.",
"OED","fin30.t.a.10","Only high-income countries are covered.",
"OED","mobileaccount.t.d.2","Only high-income countries are covered.",
"OED","fin14a.a.3","Only high-income countries are covered.",
"OED","fin17a.t.a.4","Only high-income countries are covered.",
"OED","fin28.t.a.4","Only high-income countries are covered.",
"OED","fin1.t.a.9","Only high-income countries are covered.",
"OED","fin22c.a.4","Only high-income countries are covered.",
"OED","fin22c.a.6","Only high-income countries are covered.",
"OED","fin43a.t.a","Only high-income countries are covered.",
"OED","g20.t.made.1","Only high-income countries are covered.",
"OED","fin11h.a.s","Only high-income countries are covered.",
"OED","fin22b.t.a.10","Only high-income countries are covered.",
"OED","fin33y.t.a.7","Only high-income countries are covered.",
"OED","fin22a.14.a.4","Only high-income countries are covered.",
"OED","fin22a.t.d.1","Only high-income countries are covered.",
"OED","fin32.t.a","Only high-income countries are covered.",
"OED","fin17b.t.a.4","Only high-income countries are covered.",
"OED","fin23.t.d.3","Only high-income countries are covered.",
"OED","fin24b.t.a.7","Only high-income countries are covered.",
"OED","fin25a.t.a.s.1","Only high-income countries are covered.",
"OED","fin47a.t","Only high-income countries are covered.",
"OED","account.t.d.7","Only high-income countries are covered.",
"OED","fin20b.t.a.5","Only high-income countries are covered.",
"OED","fin24a.t.a.4","Only high-income countries are covered.",
"OED","fin26.t.a.10","Only high-income countries are covered.",
"OED","fin32.t.a.10","Only high-income countries are covered.",
"OED","fin34b.t.a.s","Only high-income countries are covered.",
"OED","fin39a.t.d","Only high-income countries are covered.",
"OED","fin42.t.a.5","Only high-income countries are covered.",
"OED","fin15.t.a.9","Only high-income countries are covered.",
"OED","fin22a.t.d.8","Only high-income countries are covered.",
"OED","fin25b.t.a.s.3","Only high-income countries are covered.",
"OED","fin33.14.a.6","Only high-income countries are covered.",
"OED","fing2p.t.d.11","Only high-income countries are covered.",
"OED","g20.t.11","Only high-income countries are covered.",
"OED","fin17b.t.a.6","Only high-income countries are covered.",
"OED","fin33.14.a.11","Only high-income countries are covered.",
"OED","fin33n.t.a.4","Only high-income countries are covered.",
"OED","fin14a.a.5","Only high-income countries are covered.",
"OED","fin24a.t.a.5","Only high-income countries are covered.",
"OED","fin26.t.a","Only high-income countries are covered.",
"OED","fin31c.t.a","Only high-income countries are covered.",
"OED","fin5.a.s","Only high-income countries are covered.",
"OED","fin5.d.2","Only high-income countries are covered.",
"OED","g20.t.receive.3","Only high-income countries are covered.",
"OED","fin34a.14.a","Only high-income countries are covered.",
"OED","fin17c.14.a.5","Only high-income countries are covered.",
"OED","fin21b.t.14.a.11","Only high-income countries are covered.",
"OED","fin21b.t.14.a.6","Only high-income countries are covered.",
"OED","fin25c.a.s.9","Only high-income countries are covered.",
"OED","mobileaccount.t.d.5","Only high-income countries are covered.",
"OED","fin25b.t.a.s.10","Only high-income countries are covered.",
"OED","fin14b.a.11","Only high-income countries are covered.",
"OED","fin25d.a.s.6","Only high-income countries are covered.",
"OED","fin39a.d","Only high-income countries are covered.",
"OED","fin14abca.t.d.8","Only high-income countries are covered.",
"OED","fin15.t.a.3","Only high-income countries are covered.",
"OED","fin23.t.d.11","Only high-income countries are covered.",
"OED","fin25e.a.s.11","Only high-income countries are covered.",
"OED","g20.t.4","Only high-income countries are covered.",
"OED","fin2.t.a.9","Only high-income countries are covered.",
"OED","fin25f.a.s.4","Only high-income countries are covered.",
"OED","fin38.a.4","Only high-income countries are covered.",
"OED","account.t.d.10","Only high-income countries are covered.",
"OED","fin22b.t.a.6","Only high-income countries are covered.",
"OED","fin28.t.a.8","Only high-income countries are covered.",
"OED","fin18.t.d","Only high-income countries are covered.",
"OED","fin18.t.d.3","Only high-income countries are covered.",
"OED","fin21.t.a.10","Only high-income countries are covered.",
"OED","fin25e.a.s.1","Only high-income countries are covered.",
"OED","fin25e.a.s.3","Only high-income countries are covered.",
"OED","fing2p.t.d.9","Only high-income countries are covered.",
"OED","fin15.t.a.7","Only high-income countries are covered.",
"OED","fin17b.t.a.9","Only high-income countries are covered.",
"OED","fin32.t.a.9","Only high-income countries are covered.",
"OED","fin36y.t.a","Only high-income countries are covered.",
"OED","fin37.t.a.6","Only high-income countries are covered.",
"OED","fin1.t.a.2","Only high-income countries are covered.",
"OED","fin11a.a.s","Only high-income countries are covered.",
"OED","fin21.t.a.11","Only high-income countries are covered.",
